timestamp,lat,lon,alt,velocity,heading,position_covariance[6],fix_type
2024-05-01T16:00:00+00:00,38.0001676,-122.4999177,51.6,21.7,3.7,"[0.007709,0.000601,0.000735,0.001555,0.005612,0.000932]",3
2024-05-01T16:00:00.800000+00:00,38.000388,-122.4993011,52.9,11.1,18.0,"[0.001708,0.003611,0.004442,0.00181,0.006116,0.00402]",3
2024-05-01T16:00:01.600000+00:00,38.0010384,-122.4988766,53.7,14.9,28.0,"[0.008593,0.008303,0.002539,0.002337,0.001778,0.008108]",4
2024-05-01T16:00:02.400000+00:00,38.0017416,-122.498801,53.4,14.4,43.2,"[0.006654,0.003622,0.006126,0.003352,0.005929,0.002703]",4
2024-05-01T16:00:03.200000+00:00,38.0016057,-122.4981594,51.8,8.4,61.4,"[0.007766,0.00582,0.007836,0.002389,0.009329,0.007949]",3
2024-05-01T16:00:04+00:00,38.0023022,-122.4981703,53.1,8.3,72.5,"[0.004179,0.005448,0.008898,0.002232,0.005161,0.009724]",3
2024-05-01T16:00:04.800000+00:00,38.0030397,-122.4980347,52.4,16.3,81.3,"[0.003898,0.008486,0.008702,0.009308,0.006358,0.005363]",3
2024-05-01T16:00:05.600000+00:00,38.0032175,-122.4975687,53.2,18.8,98.5,"[0.005262,0.006556,0.003494,0.006967,0.003547,0.00675]",2
2024-05-01T16:00:06.400000+00:00,38.0033699,-122.4975845,55.2,14.0,116.5,"[0.009488,0.007273,0.001157,0.00879,0.002575,0.00333]",3
2024-05-01T16:00:07.200000+00:00,38.0038231,-122.4971233,56.8,20.5,131.6,"[0.001533,0.008289,0.005654,0.007242,0.001206,0.003897]",2
2024-05-01T16:00:08+00:00,38.0037777,-122.4967615,53.8,20.2,143.1,"[0.001708,0.006319,0.001742,0.006614,0.009221,0.001079]",3
2024-05-01T16:00:08.800000+00:00,38.003853,-122.4971558,55.5,14.8,152.2,"[0.003286,0.002336,0.007555,0.007156,0.006902,0.003555]",4
2024-05-01T16:00:09.600000+00:00,38.0046112,-122.4970743,55.6,8.7,169.8,"[0.001295,0.005167,0.000985,0.002707,0.008888,0.001028]",2
2024-05-01T16:00:10.400000+00:00,38.0053034,-122.4963838,55.5,16.7,176.5,"[0.007609,0.007447,0.001024,0.004247,0.005905,0.007022]",2
2024-05-01T16:00:11.200000+00:00,38.0062816,-122.4962711,53.3,19.6,194.1,"[0.000646,0.00716,0.001674,0.008447,0.004295,0.009978]",3
2024-05-01T16:00:12+00:00,38.0074462,-122.4956256,58.0,21.1,205.3,"[0.006832,0.001229,0.004675,0.00654,0.001161,0.00518]",3
2024-05-01T16:00:12.800000+00:00,38.0074419,-122.4958834,56.6,15.4,225.2,"[0.00192,0.008566,0.00184,0.003817,0.007841,0.008467]",3
2024-05-01T16:00:13.600000+00:00,38.0076258,-122.4961216,61.0,13.8,240.4,"[0.004937,0.005063,0.000769,0.005232,0.005415,0.006776]",3
2024-05-01T16:00:14.400000+00:00,38.0081861,-122.495802,61.3,16.1,252.3,"[0.003388,0.001943,0.004965,0.001189,0.009871,0.001841]",2
2024-05-01T16:00:15.200000+00:00,38.0085204,-122.4949826,59.5,18.4,266.1,"[0.004862,0.006853,0.004128,0.009027,0.008343,0.001627]",3
2024-05-01T16:00:16+00:00,38.0090898,-122.4945341,56.2,16.3,280.3,"[0.008849,0.009108,0.008601,0.00354,0.006757,0.008581]",2
2024-05-01T16:00:16.800000+00:00,38.0101727,-122.4943251,61.6,8.0,295.5,"[0.005799,0.008008,0.00478,0.000942,0.009451,0.004836]",4
2024-05-01T16:00:17.600000+00:00,38.0105094,-122.4938036,56.4,19.8,307.9,"[0.005049,0.009738,0.008927,0.000911,0.007658,0.008663]",2
2024-05-01T16:00:18.400000+00:00,38.0108973,-122.4930714,63.4,13.3,322.0,"[0.007683,0.008079,0.000883,0.001072,0.007258,0.004482]",3
2024-05-01T16:00:19.200000+00:00,38.0112956,-122.4925973,59.3,17.3,333.9,"[0.000636,0.002033,0.00141,0.006833,0.003795,0.003485]",4
