[2024-03-12 10:00:00] GPS: lat=37.790053, lon=-122.398897, alt=21.9m, speed=19.0m/s, heading=257.1deg, satellites=9
[2024-03-12 10:00:05] GPS: lat=37.790088, lon=-122.398694, alt=17.8m, speed=8.7m/s, heading=107.2deg, satellites=12
[2024-03-12 10:00:10] GPS: lat=37.789626, lon=-122.399001, alt=20.5m, speed=6.4m/s, heading=280.8deg, satellites=12
[2024-03-12 10:00:15] GPS: lat=37.789063, lon=-122.399139, alt=20.2m, speed=8.3m/s, heading=154.9deg, satellites=10
[2024-03-12 10:00:20] GPS: lat=37.789299, lon=-122.398616, alt=16.9m, speed=16.5m/s, heading=233.3deg, satellites=7
[2024-03-12 10:00:25] GPS: lat=37.788474, lon=-122.399114, alt=21.5m, speed=13.2m/s, heading=352.3deg, satellites=9
[2024-03-12 10:00:30] GPS: lat=37.789210, lon=-122.400240, alt=23.2m, speed=5.8m/s, heading=239.8deg, satellites=8
[2024-03-12 10:00:35] GPS: lat=37.789888, lon=-122.400023, alt=20.4m, speed=6.8m/s, heading=4.8deg, satellites=7
[2024-03-12 10:00:40] GPS: lat=37.789522, lon=-122.400310, alt=22.2m, speed=6.7m/s, heading=182.6deg, satellites=12
[2024-03-12 10:00:45] GPS: lat=37.789391, lon=-122.400761, alt=22.5m, speed=8.5m/s, heading=339.1deg, satellites=10
[2024-03-12 10:00:50] GPS: lat=37.789059, lon=-122.400752, alt=22.3m, speed=21.5m/s, heading=330.9deg, satellites=11
[2024-03-12 10:00:55] GPS: lat=37.788798, lon=-122.400710, alt=21.2m, speed=9.2m/s, heading=194.7deg, satellites=8
[2024-03-12 10:01:00] GPS: lat=37.789026, lon=-122.401063, alt=21.0m, speed=22.9m/s, heading=132.9deg, satellites=11
[2024-03-12 10:01:05] GPS: lat=37.789095, lon=-122.400280, alt=17.6m, speed=17.7m/s, heading=101.6deg, satellites=8
[2024-03-12 10:01:10] GPS: lat=37.788695, lon=-122.400450, alt=17.6m, speed=18.1m/s, heading=337.0deg, satellites=8
[2024-03-12 10:01:15] GPS: lat=37.787986, lon=-122.400491, alt=20.8m, speed=10.3m/s, heading=251.9deg, satellites=9
[2024-03-12 10:01:20] GPS: lat=37.787659, lon=-122.401269, alt=20.0m, speed=23.8m/s, heading=128.5deg, satellites=7
[2024-03-12 10:01:25] GPS: lat=37.787734, lon=-122.401692, alt=21.4m, speed=17.5m/s, heading=190.1deg, satellites=10
[2024-03-12 10:01:30] GPS: lat=37.787772, lon=-122.401806, alt=20.6m, speed=24.6m/s, heading=165.9deg, satellites=7
[2024-03-12 10:01:35] GPS: lat=37.788163, lon=-122.402251, alt=17.3m, speed=8.3m/s, heading=175.5deg, satellites=12
