timestamp,range,azimuth,elevation,range_rate,rcs,snr
2024-03-10T08:00:00+00:00,136.09,-1.43,6.51,-28.11,8.28,24.8
2024-03-10T08:00:00.050000+00:00,63.04,-54.4,9.81,-29.59,6.94,31.14
2024-03-10T08:00:00.100000+00:00,78.6,-0.7,8.58,-6.27,14.09,23.35
2024-03-10T08:00:00.150000+00:00,23.25,37.6,-5.77,3.26,-9.77,33.56
2024-03-10T08:00:00.200000+00:00,166.47,-33.41,2.9,-24.29,-5.59,8.39
2024-03-10T08:00:00.250000+00:00,33.08,-34.54,-0.47,-25.34,-11.77,5.23
2024-03-10T08:00:00.300000+00:00,180.24,6.27,-6.65,25.73,-1.03,6.46
2024-03-10T08:00:00.350000+00:00,107.35,16.82,6.01,20.1,-11.16,38.89
2024-03-10T08:00:00.400000+00:00,95.92,-28.31,0.99,-7.36,-12.87,37.04
2024-03-10T08:00:00.450000+00:00,188.14,40.5,-1.34,12.97,9.8,7.77
2024-03-10T08:00:00.500000+00:00,84.94,16.99,9.53,12.32,2.28,12.19
2024-03-10T08:00:00.550000+00:00,62.15,-40.8,-3.92,13.11,13.53,5.55
2024-03-10T08:00:00.600000+00:00,65.96,-54.13,7.5,11.63,8.93,37.14
2024-03-10T08:00:00.650000+00:00,34.86,-3.6,0.93,0.98,5.21,33.79
2024-03-10T08:00:00.700000+00:00,50.88,-47.34,2.28,-15.38,8.94,21.29
2024-03-10T08:00:00.750000+00:00,139.75,-17.42,-7.93,-12.07,-14.29,13.15
2024-03-10T08:00:00.800000+00:00,111.16,-17.41,4.89,8.89,6.95,32.66
2024-03-10T08:00:00.850000+00:00,107.68,-29.24,9.91,-23.6,-5.48,10.41
2024-03-10T08:00:00.900000+00:00,103.88,36.83,-0.5,-3.95,-8.39,7.69
2024-03-10T08:00:00.950000+00:00,146.22,30.16,2.3,24.13,-15.34,12.02
2024-03-10T08:00:01+00:00,170.41,19.33,0.33,16.35,7.17,24.42
2024-03-10T08:00:01.050000+00:00,139.46,-30.1,4.07,-6.03,1.63,26.03
2024-03-10T08:00:01.100000+00:00,124.09,24.37,-8.46,-17.29,-9.55,38.81
2024-03-10T08:00:01.150000+00:00,133.24,-39.11,3.64,20.46,11.5,12.28
2024-03-10T08:00:01.200000+00:00,189.77,-32.19,-6.92,7.85,-18.72,32.86
2024-03-10T08:00:01.250000+00:00,32.85,-49.62,6.38,27.8,6.64,33.68
2024-03-10T08:00:01.300000+00:00,187.69,-10.34,-3.62,12.44,1.98,28.98
2024-03-10T08:00:01.350000+00:00,144.06,25.8,-5.56,-25.01,-2.49,37.9
2024-03-10T08:00:01.400000+00:00,148.22,-40.26,-8.67,4.98,0.42,28.6
2024-03-10T08:00:01.450000+00:00,52.26,-6.11,3.98,-20.48,-13.44,20.36
2024-03-10T08:00:01.500000+00:00,53.85,50.34,-6.2,-6.02,8.61,6.34
2024-03-10T08:00:01.550000+00:00,135.28,-58.31,8.56,-23.15,-14.68,26.3
2024-03-10T08:00:01.600000+00:00,170.21,-7.64,-0.69,20.18,-2.16,21.12
2024-03-10T08:00:01.650000+00:00,62.26,-16.51,-3.44,4.13,7.37,30.27
2024-03-10T08:00:01.700000+00:00,137.34,51.42,7.34,25.49,-18.53,18.78
2024-03-10T08:00:01.750000+00:00,118.78,-4.58,3.59,29.24,-14.63,16.66
2024-03-10T08:00:01.800000+00:00,190.86,-8.78,-1.66,22.27,-18.54,9.18
2024-03-10T08:00:01.850000+00:00,29.7,58.74,-8.21,-5.85,11.19,18.45
2024-03-10T08:00:01.900000+00:00,9.64,-9.67,-8.32,5.46,-3.63,17.47
2024-03-10T08:00:01.950000+00:00,170.6,49.24,-0.09,-3.15,12.11,35.75
2024-03-10T08:00:02+00:00,170.1,17.34,0.64,27.89,-9.77,15.71
2024-03-10T08:00:02.050000+00:00,24.78,-11.61,0.37,-23.76,-8.29,19.79
2024-03-10T08:00:02.100000+00:00,197.93,57.25,-7.69,-5.3,7.5,26.5
2024-03-10T08:00:02.150000+00:00,142.57,42.94,-2.88,12.02,2.39,7.3
2024-03-10T08:00:02.200000+00:00,134.63,-53.88,-5.41,-23.38,-11.89,38.28
2024-03-10T08:00:02.250000+00:00,172.83,-24.86,9.07,-22.72,-13.68,20.91
2024-03-10T08:00:02.300000+00:00,15.68,-10.69,1.4,16.72,6.77,39.98
2024-03-10T08:00:02.350000+00:00,108.15,39.8,4.47,16.13,-9.73,24.82
2024-03-10T08:00:02.400000+00:00,162.62,5.43,7.1,0.25,-11.19,8.9
2024-03-10T08:00:02.450000+00:00,55.26,14.16,-0.79,14.43,-6.81,31.96
2024-03-10T08:00:02.500000+00:00,67.59,57.17,-4.02,21.83,-4.96,13.57
2024-03-10T08:00:02.550000+00:00,191.78,-13.0,4.4,-20.04,13.75,9.85
2024-03-10T08:00:02.600000+00:00,175.71,-58.23,-3.66,-1.44,5.08,29.43
2024-03-10T08:00:02.650000+00:00,59.03,-51.02,-8.06,-30.0,6.76,9.75
2024-03-10T08:00:02.700000+00:00,163.83,-26.76,-6.49,-2.17,5.82,34.64
